,n,cab,ccx,ewt,lma,lai,psoil,rsoil
Northing_avg_m,0.013426691217983733,-0.21358301536782245,-0.03110080564464161,-0.10987926523411419,0.12182984809597457,0.020088029185402045,-0.07821314537690131,-0.08968482556018831
Easting_avg_m,-0.002676947872973326,-0.23753918531574567,-0.05077413121283733,-0.1223761498722983,0.15673845377932927,0.02307695024596309,-0.0962841942626528,-0.10449442065516458
Elevation_avg_adj_m,0.14127712508923992,-0.1883946934810654,0.1044809423311839,0.1148878447155342,-0.2472654224198982,0.11667650773442237,0.1904529425914666,0.14108294830931503
Elevation_avg_m,0.14127712508923979,-0.18839469348106638,0.10448094233118217,0.11488784471553204,-0.24726542241989546,0.11667650773442213,0.1904529425914647,0.1410829483093137
BD_VP_A_7_2019_g_cm-3,0.05034661004255984,0.11686918191412134,0.08243625884309697,0.15242919338514477,-0.20948291833987978,0.036132190573163706,0.16117377712157235,0.1327917974973508
BD_VP_B_7_2019_g_cm-3,0.08980182812879242,0.1278734334309643,0.09659682725745929,0.15723247597264242,-0.27148402187989196,0.03617021325570618,0.1786868941377864,0.15214257290518424
BD_VP_AVG_7_2019_g_cm-3,0.07088084533334799,0.12384610781162225,0.09058839751250317,0.1567072568065743,-0.24333558726895532,0.03659056320496319,0.1719757583564086,0.14417670269959404
SOM_VP_A_7_2019_PERCENT,-0.06700353304268987,-0.1560255464230169,-0.07674323844124652,-0.12025599386529875,0.220239570283838,-0.02136634647847172,-0.119929688402438,-0.1036443860523857
SWC_VP_A_7_2019_g_g_soil_-1,-0.04568522588042981,-0.17222266806099845,-0.0823883457016384,-0.16054180131070395,0.2582869870777172,-0.028144666062632634,-0.1589379159720868,-0.14935956363359681
SWC_VP_B_7_2019_g_g_soil_-1,-0.07210435433977987,-0.17761631496564156,-0.08459064401686651,-0.1747542599358834,0.2914569943857163,-0.04292168379388714,-0.190523405078648,-0.17824165912608414
SWC_VP_AVG_7_2019_g_g_soil-1,-0.059346008637133706,-0.17629260400397243,-0.0841450526951418,-0.16895998113366445,0.27701858230352605,-0.03580593464999293,-0.1760904673350927,-0.16507568562149583
CHL-A_VP_AVG_7_2019_mg_m-2,-0.025484928489982274,0.02846550750477312,-0.04129403841138557,-0.04380448712718744,-0.07686009378788307,-0.03954048107075361,0.018930285826063667,0.04894986669023841
PHP_VP_AVG_7_2019_mg_m-1,-0.010474893163236059,0.28456528394191505,-0.047506790927538046,-0.0317792707082858,-0.11289002871138967,-0.11112243839569964,-0.026715272822014958,0.060023528928237826
SALINITY_ppt_7_2019,-0.21886937148266367,0.0803965710448369,-0.09413565277199808,-0.025179765234015425,0.1549629581230538,-0.09075138666213352,-0.04417346410928409,0.05580797579200934
10_cm_Bulk_Density_7_2019_g_cm-2,0.042864793317521084,0.22789217389960822,0.08205441444076125,0.12230473654263276,-0.20314791259154769,-0.022333793057471202,0.10925267504447615,0.11102794022981657
10_cm_SOM_7_2019_percent,-0.03233075099653129,-0.19303207076807233,-0.0666740651247456,-0.1138245577020469,0.16723243803074261,0.00834345330468101,-0.09773964455132683,-0.09154722533641162
