,northing,easting
vp_001_001,4138686.094,437051.979
vp_001_002,4138685.694,437052.351
vp_001_003,4138685.345,437051.968
vp_001_004,4138685.706,437051.74
vp_002_001,4138681.245,437048.546
vp_002_002,4138681.055,437049.041
vp_002_003,4138680.635,437048.835
vp_002_004,4138680.771,437048.389
vp_003_001,4138681.128,437052.14
vp_003_002,4138681.14,437052.595
vp_003_003,4138680.65,437052.567
vp_003_004,4138680.653,437052.054
vp_004_001,4138678.376,437048.308
vp_004_002,4138678.467,437048.802
vp_004_003,4138677.983,437049.012
vp_004_004,4138677.831,437048.502
vp_005_001,4138679.246,437059.495
vp_005_002,4138679.328,437060.021
vp_005_003,4138678.864,437060.191
vp_005_004,4138678.753,437059.574
vp_006_001,4138677.23,437052.358
vp_006_002,4138677.26,437052.885
vp_006_003,4138676.774,437052.987
vp_006_004,4138676.709,437052.444
vp_007_001,4138672.412,437046.572
vp_007_002,4138672.473,437047.066
vp_007_003,4138671.964,437047.107
vp_007_004,4138671.972,437046.609
vp_008_001,4138666.364,437052.029
vp_008_002,4138666.489,437052.465
vp_008_003,4138666.068,437052.592
vp_008_004,4138665.915,437052.154
vp_009_001,4138657.216,437044.881
vp_009_002,4138657.525,437045.267
vp_009_003,4138657.092,437045.58
vp_009_004,4138656.914,437045.107
vp_010_001,4138667.668,437059.86
vp_010_002,4138667.806,437060.352
vp_010_003,4138667.311,437060.33
vp_010_004,4138667.259,437059.902
vp_011_001,4138670.799,437066.748
vp_011_002,4138670.907,437067.228
vp_011_003,4138670.469,437067.238
vp_011_004,4138670.395,437066.796
vp_012_001,4138675.934,437063.966
vp_012_002,4138675.639,437063.874
vp_012_003,4138675.914,437064.53
vp_012_004,4138675.479,437064.375
vp_012_005,4138675.568,437063.884
vp_013_001,4138696.845,437050.962
vp_013_002,4138696.463,437050.983
vp_013_003,4138696.382,437050.469
vp_013_004,4138696.878,437050.394
vp_014_001,4138700.495,437049.474
vp_014_002,4138700.161,437049.707
vp_014_003,4138699.845,437049.303
vp_014_004,4138700.233,437049.052
vp_015_001,4138699.231,437053.9
vp_015_002,4138698.851,437053.869
vp_015_003,4138698.867,437053.432
vp_016_001,4138703.535,437052.826
vp_016_002,4138703.243,437053.157
vp_016_003,4138702.872,437052.852
vp_016_004,4138703.186,437052.558
vp_017_001,4138707.809,437053.566
vp_017_002,4138707.467,437053.899
vp_017_003,4138707.167,437053.584
vp_017_004,4138707.527,437053.232
vp_018_001,4138705.632,437056.645
vp_018_002,4138705.188,437056.905
vp_018_003,4138705.09,437056.449
vp_018_004,4138705.529,437056.31
vp_019_001,4138700.966,437060.057
vp_019_002,4138700.527,437060.293
vp_019_003,4138700.383,437059.78
vp_019_004,4138700.814,437059.65
vp_020_001,4138705.627,437062.012
vp_020_002,4138705.193,437062.205
vp_020_003,4138705.089,437061.675
vp_020_004,4138705.57,437061.575
vp_021_001,4138709.302,437063.736
vp_021_002,4138708.984,437063.995
vp_021_003,4138708.744,437063.563
vp_021_004,4138709.152,437063.314
vp_022_001,4138714.271,437063.904
vp_022_002,4138714.086,437064.231
vp_022_003,4138714.073,437064.235
vp_022_004,4138713.662,437063.914
vp_022_005,4138713.909,437063.607
vp_023_001,4138709.251,437070.236
vp_023_002,4138709.026,437070.487
vp_023_003,4138708.701,437070.187
vp_023_004,4138708.8,437069.881
vp_024_001,4138705.224,437069.293
vp_024_002,4138704.852,437069.413
vp_024_003,4138704.756,437068.9
vp_024_004,4138705.184,437068.851
vp_025_001,4138705.649,437039.321
vp_025_002,4138705.734,437039.799
vp_025_003,4138705.298,437039.867
vp_025_004,4138705.174,437039.426
vp_025_005,4138711.339,437048.225
vp_026_001,4138711.33,437048.228
vp_026_002,4138711.345,437048.65
vp_026_003,4138710.872,437048.537
vp_026_004,4138711.053,437048.08
vp_027_001,4138715.511,437050.461
vp_027_002,4138715.344,437050.933
vp_027_003,4138714.902,437050.755
