vp_names,img_idx,pix_y,pix_x
vp_001_001,0,1721,1857
vp_001_002,0,1728,1863
vp_001_003,0,1734,1857
vp_001_004,0,1728,1852
vp_002_001,0,1808,1796
vp_002_002,0,1812,1805
vp_002_003,0,1819,1801
vp_002_004,0,1817,1793
vp_003_001,0,1810,1860
vp_003_002,0,1810,1868
vp_003_003,0,1819,1868
vp_003_004,0,1819,1859
vp_004_001,0,1860,1792
vp_004_002,0,1859,1801
vp_004_003,0,1867,1805
vp_004_004,0,1870,1795
vp_005_001,0,1843,1992
vp_005_002,0,1841,2002
vp_005_003,0,1850,2005
vp_005_004,0,1852,1994
vp_006_001,0,1880,1865
vp_006_002,0,1880,1874
vp_006_003,0,1888,1876
vp_006_004,0,1890,1866
vp_007_001,0,1968,1762
vp_007_002,0,1967,1770
vp_007_003,0,1976,1771
vp_007_004,0,1976,1762
vp_008_001,0,2076,1860
vp_008_002,0,2074,1868
vp_008_003,0,2082,1870
vp_008_004,0,2084,1863
vp_009_001,0,2242,1733
vp_009_002,0,2237,1740
vp_009_003,0,2244,1746
vp_009_004,0,2248,1737
vp_010_001,0,2052,2001
vp_010_002,0,2049,2009
vp_010_003,0,2058,2009
vp_010_004,0,2059,2001
vp_011_001,0,1994,2124
vp_011_002,0,1992,2132
vp_011_003,0,2000,2132
vp_011_004,0,2002,2125
vp_012_001,0,1902,2073
vp_012_002,0,1907,2071
vp_012_003,0,1902,2083
vp_012_004,0,1910,2080
vp_012_005,0,1909,2072
vp_013_001,0,1527,1837
vp_013_002,0,1534,1837
vp_013_003,0,1535,1828
vp_013_004,0,1526,1827
vp_014_001,0,1461,1810
vp_014_002,0,1467,1814
vp_014_003,0,1473,1807
vp_014_004,0,1466,1802
vp_015_001,0,1484,1889
vp_015_002,0,1490,1889
vp_015_003,0,1490,1881
vp_016_001,0,1406,1870
vp_016_002,0,1411,1876
vp_016_003,0,1418,1870
vp_016_004,0,1412,1865
vp_017_001,0,1329,1882
vp_017_002,0,1335,1888
vp_017_003,0,1341,1883
vp_017_004,0,1334,1876
vp_018_001,0,1368,1938
vp_018_002,0,1376,1942
vp_018_003,0,1378,1934
vp_018_004,0,1370,1932
vp_019_001,0,1451,2000
vp_019_002,0,1459,2004
vp_019_003,0,1462,1995
vp_019_004,0,1454,1992
vp_020_001,0,1367,2034
vp_020_002,0,1375,2038
vp_020_003,0,1377,2028
vp_020_004,0,1368,2026
vp_021_001,0,1301,2064
vp_021_002,0,1306,2069
vp_021_003,0,1311,2061
vp_021_004,0,1303,2057
vp_022_001,0,1211,2067
vp_022_002,0,1214,2073
vp_022_003,0,1215,2073
vp_022_004,0,1222,2067
vp_022_005,0,1218,2061
vp_023_001,0,1301,2181
vp_023_002,0,1305,2185
vp_023_003,0,1311,2180
vp_023_004,0,1309,2175
vp_024_001,0,1373,2165
vp_024_002,0,1380,2167
vp_024_003,0,1382,2158
vp_024_004,0,1374,2157
vp_025_001,0,1370,1627
vp_025_002,0,1368,1636
vp_025_003,0,1376,1637
vp_025_004,0,1378,1629
vp_025_005,0,1266,1786
vp_026_001,0,1266,1786
vp_026_002,0,1266,1794
vp_026_003,0,1274,1792
vp_026_004,0,1271,1783
vp_027_001,0,1191,1826
vp_027_002,0,1193,1834
vp_027_003,0,1201,1831
vp_027_004,0,1197,1822
vp_028_001,0,1193,1661
vp_028_002,0,1196,1668
vp_028_003,0,1203,1664
vp_028_004,0,1200,1657
vp_029_001,0,1203,1547
vp_029_002,0,1211,1554
vp_029_003,0,1217,1552
vp_029_004,0,1213,1544
vp_030_001,0,1081,1510
vp_030_002,0,1085,1519
vp_030_003,0,1085,1518
vp_030_004,0,1091,1515
vp_030_005,0,1087,1507
vp_031_001,0,973,1647
vp_031_002,0,980,1654
vp_031_003,0,987,1650
vp_031_004,0,983,1643
vp_032_001,0,954,1713
vp_032_002,0,959,1723
vp_032_003,0,965,1718
vp_032_004,0,962,1712
vp_033_001,0,1266,1608
vp_033_002,0,1266,1617
vp_033_003,0,1275,1614
vp_033_004,0,1273,1606
vp_034_001,0,945,1448
vp_034_002,0,946,1456
vp_034_003,0,954,1455
vp_034_004,0,950,1447
vp_035_001,0,892,1520
vp_035_002,0,894,1531
vp_035_003,0,902,1526
vp_035_004,0,897,1518
vp_036_001,0,828,1615
vp_036_002,0,830,1625
vp_036_003,0,839,1622
vp_036_004,0,838,1612
vp_037_001,0,1625,1483
vp_037_002,0,1630,1490
vp_037_003,0,1637,1487
vp_037_004,0,1635,1479
vp_038_001,0,1710,1464
vp_038_002,0,1719,1466
vp_038_003,0,1723,1459
vp_038_004,0,1716,1454
vp_039_001,0,1732,1412
vp_039_002,0,1734,1420
vp_039_003,0,1733,1420
vp_039_004,0,1741,1420
vp_039_005,0,1741,1420
