Wavelength,vp71
451.996002,95.4
454.221985,95.4
456.447998,95.4
458.674011,95.4
460.899994,95.4
463.126007,95.4
465.35199,95.4
467.578003,95.4
469.803986,95.4
472.029999,95.4
474.256012,95.4
476.481995,95.4
478.708008,95.4
480.93399,95.4
483.160004,95.4
485.385986,95.4
487.612,95.4
489.838013,95.4
492.063995,95.4
494.290009,95.4
496.515991,95.4
498.742004,95.4
500.967987,95.4
503.194,95.4
505.420013,95.4
507.645996,95.4
509.872009,95.4
512.098022,95.4
514.323975,95.4
516.549988,95.4
518.776001,95.4
521.002014,95.4
523.228027,95.4
525.453979,95.4
527.679993,95.4
529.906006,95.4
532.132019,95.4
534.357971,95.4
536.583984,95.4
538.809998,95.4
541.036011,95.4
543.260986,95.4
545.487,95.4
547.713013,95.4
549.939026,95.4
552.164978,95.4
554.390991,95.4
556.617004,95.4
558.843018,95.4
561.06897,95.4
563.294983,95.4
565.520996,95.4
567.747009,95.4
569.973022,95.4
572.198975,95.4
574.424988,95.4
576.651001,95.4
578.877014,95.4
581.103027,95.4
583.328979,95.4
585.554993,95.4
587.781006,95.4
590.007019,95.4
592.232971,95.4
594.458984,95.4
596.684998,95.4
598.911011,95.4
601.137024,95.4
603.362976,95.4
605.588989,95.4
607.815002,95.4
610.041016,95.4
612.267029,95.4
614.492981,95.4
616.718994,95.4
618.945007,95.4
621.171021,95.4
623.396973,95.4
625.622986,95.4
627.848999,95.4
630.075012,95.4
632.301025,95.4
634.526978,95.4
636.752991,95.4
638.979004,95.4
641.205017,95.4
643.43103,95.4
645.656982,95.4
647.882996,95.4
650.109009,95.4
652.335022,95.4
654.560974,95.4
656.786987,95.4
659.013,95.4
661.239014,95.4
663.465027,95.4
665.690002,95.4
667.916016,95.4
670.142029,95.4
672.367981,95.4
674.593994,95.4
676.820007,95.4
679.046021,95.4
681.271973,95.4
683.497986,95.4
685.723999,95.4
687.950012,95.4
690.176025,95.4
692.401978,95.4
694.627991,95.4
696.854004,95.4
699.080017,95.4
701.30603,95.4
703.531982,95.4
705.757996,95.4
707.984009,95.4
710.210022,95.4
712.435974,95.4
714.661987,95.4
716.888,95.4
719.114014,95.4
721.340027,95.4
723.565979,95.4
725.791992,95.4
728.018005,95.4
730.244019,95.4
732.469971,95.4
734.695984,95.4
736.921997,95.4
739.14801,95.4
741.374023,95.4
743.599976,95.4
745.825989,95.4
748.052002,95.4
750.278015,95.4
752.504028,95.4
754.72998,95.4
756.955994,95.4
759.182007,95.4
761.40802,95.4
763.633972,95.4
765.859985,95.4
768.085999,95.4
770.312012,95.4
772.538025,95.4
774.763977,95.4
776.989014,95.4
779.216003,95.4
781.440979,95.4
783.666992,95.4
785.893005,95.4
788.119019,95.4
790.344971,95.4
792.570984,95.4
794.796997,95.4
797.02301,95.4
799.249023,95.4
801.474976,95.4
803.700989,95.4
805.927002,95.4
808.153015,95.4
810.379028,95.4
812.60498,95.4
814.830994,95.4
817.057007,95.4
819.28302,95.4
821.508972,95.4
823.734985,95.4
825.960999,95.4
828.187012,95.4
830.413025,95.4
832.638977,95.4
834.86499,95.4
837.091003,95.4
839.317017,95.4
841.54303,95.4
843.768982,95.4
845.994995,95.4
848.221008,95.4
850.447021,95.4
852.672974,95.4
854.898987,95.4
857.125,95.4
859.351013,95.4
861.577026,95.4
863.802979,95.4
866.028992,95.4
868.255005,95.4
870.481018,95.4
872.70697,95.4
874.932983,95.4
877.158997,95.4
879.38501,95.4
881.611023,95.4
883.836975,95.4
886.062988,95.4
888.288025,95.4
890.513977,95.4
892.73999,95.4
894.966003,95.4
897.192017,95.4
899.41803,95.4
957.5,96.84
967.072998,96.84
976.64502,96.84
986.218018,96.84
995.789978,96.84
1005.359985,96.84
1014.940002,96.84
1024.51001,96.84
1034.079956,96.84
1043.650024,96.84
1053.22998,96.84
1062.800049,96.84
1072.369995,96.84
1081.939941,96.84
1091.52002,96.84
1101.089966,96.84
1110.660034,96.84
1120.22998,96.84
1129.810059,96.84
1139.380005,96.84
1148.949951,96.84
1158.52002,96.84
1168.099976,96.84
1177.670044,96.84
1187.23999,96.84
1196.810059,96.84
1206.390015,96.84
1215.959961,96.84
1225.530029,96.84
1235.099976,96.84
1244.680054,96.84
1254.25,96.84
1263.819946,96.84
1273.390015,96.84
1282.969971,96.84
1292.540039,96.84
1302.109985,96.84
1311.680054,96.84
1321.26001,96.84
1330.829956,96.84
1436.119995,96.84
1445.699951,96.84
1455.27002,96.84
1464.839966,96.84
1474.410034,96.84
1483.98999,96.84
1493.560059,96.84
1503.130005,96.84
1512.699951,96.84
1522.280029,96.84
1531.849976,96.84
1541.420044,96.84
1550.98999,96.84
1560.569946,96.84
1570.140015,96.84
1579.709961,96.84
1589.280029,96.84
1598.859985,96.84
1608.430054,96.84
1618.0,96.84
1627.569946,96.84
1637.150024,96.84
1646.719971,96.84
1656.290039,96.84
1665.859985,96.84
1675.439941,96.84
1685.01001,96.84
1694.579956,96.84
1704.150024,96.84
1713.72998,96.84
1723.300049,96.84
1732.869995,96.84
1742.439941,96.84
1752.02002,96.84
1761.589966,96.84
1771.160034,96.84
1981.76001,96.84
1991.329956,96.84
2000.900024,96.84
2010.469971,96.84
2020.050049,96.84
2029.619995,96.84
2039.189941,96.84
2048.76001,96.84
2058.340088,96.84
2067.909912,96.84
2077.47998,96.84
2087.050049,96.84
2096.629883,96.84
2106.199951,96.84
2115.77002,96.84
2125.340088,96.84
2134.919922,96.84
2144.48999,96.84
2154.060059,96.84
2163.629883,96.84
2173.209961,96.84
2182.780029,96.84
2192.350098,96.84
2201.919922,96.84
2211.5,96.84
2221.070068,96.84
2230.639893,96.84
2240.209961,96.84
2249.790039,96.84
2259.360107,96.84
2268.929932,96.84
2278.5,96.84
2288.080078,96.84
2297.649902,96.84
2307.219971,96.84
2316.790039,96.84
