Wavelength,vp11
451.996002,35.54
454.221985,35.54
456.447998,35.54
458.674011,35.54
460.899994,35.54
463.126007,35.54
465.35199,35.54
467.578003,35.54
469.803986,35.54
472.029999,35.54
474.256012,35.54
476.481995,35.54
478.708008,35.54
480.93399,35.54
483.160004,35.54
485.385986,35.54
487.612,35.54
489.838013,35.54
492.063995,35.54
494.290009,35.54
496.515991,35.54
498.742004,35.54
500.967987,35.54
503.194,35.54
505.420013,35.54
507.645996,35.54
509.872009,35.54
512.098022,35.54
514.323975,35.54
516.549988,35.54
518.776001,35.54
521.002014,35.54
523.228027,35.54
525.453979,35.54
527.679993,35.54
529.906006,35.54
532.132019,35.54
534.357971,35.54
536.583984,35.54
538.809998,35.54
541.036011,35.54
543.260986,35.54
545.487,35.54
547.713013,35.54
549.939026,35.54
552.164978,35.54
554.390991,35.54
556.617004,35.54
558.843018,35.54
561.06897,35.54
563.294983,35.54
565.520996,35.54
567.747009,35.54
569.973022,35.54
572.198975,35.54
574.424988,35.54
576.651001,35.54
578.877014,35.54
581.103027,35.54
583.328979,35.54
585.554993,35.54
587.781006,35.54
590.007019,35.54
592.232971,35.54
594.458984,35.54
596.684998,35.54
598.911011,35.54
601.137024,35.54
603.362976,35.54
605.588989,35.54
607.815002,35.54
610.041016,35.54
612.267029,35.54
614.492981,35.54
616.718994,35.54
618.945007,35.54
621.171021,35.54
623.396973,35.54
625.622986,35.54
627.848999,35.54
630.075012,35.54
632.301025,35.54
634.526978,35.54
636.752991,35.54
638.979004,35.54
641.205017,35.54
643.43103,35.54
645.656982,35.54
647.882996,35.54
650.109009,35.54
652.335022,35.54
654.560974,35.54
656.786987,35.54
659.013,35.54
661.239014,35.54
663.465027,35.54
665.690002,35.54
667.916016,35.54
670.142029,35.54
672.367981,35.54
674.593994,35.54
676.820007,35.54
679.046021,35.54
681.271973,35.54
683.497986,35.54
685.723999,35.54
687.950012,35.54
690.176025,35.54
692.401978,35.54
694.627991,35.54
696.854004,35.54
699.080017,35.54
701.30603,35.54
703.531982,35.54
705.757996,35.54
707.984009,35.54
710.210022,35.54
712.435974,35.54
714.661987,35.54
716.888,35.54
719.114014,35.54
721.340027,35.54
723.565979,35.54
725.791992,35.54
728.018005,35.54
730.244019,35.54
732.469971,35.54
734.695984,35.54
736.921997,35.54
739.14801,35.54
741.374023,35.54
743.599976,35.54
745.825989,35.54
748.052002,35.54
750.278015,35.54
752.504028,35.54
754.72998,35.54
756.955994,35.54
759.182007,35.54
761.40802,35.54
763.633972,35.54
765.859985,35.54
768.085999,35.54
770.312012,35.54
772.538025,35.54
774.763977,35.54
776.989014,35.54
779.216003,35.54
781.440979,35.54
783.666992,35.54
785.893005,35.54
788.119019,35.54
790.344971,35.54
792.570984,35.54
794.796997,35.54
797.02301,35.54
799.249023,35.54
801.474976,35.54
803.700989,35.54
805.927002,35.54
808.153015,35.54
810.379028,35.54
812.60498,35.54
814.830994,35.54
817.057007,35.54
819.28302,35.54
821.508972,35.54
823.734985,35.54
825.960999,35.54
828.187012,35.54
830.413025,35.54
832.638977,35.54
834.86499,35.54
837.091003,35.54
839.317017,35.54
841.54303,35.54
843.768982,35.54
845.994995,35.54
848.221008,35.54
850.447021,35.54
852.672974,35.54
854.898987,35.54
857.125,35.54
859.351013,35.54
861.577026,35.54
863.802979,35.54
866.028992,35.54
868.255005,35.54
870.481018,35.54
872.70697,35.54
874.932983,35.54
877.158997,35.54
879.38501,35.54
881.611023,35.54
883.836975,35.54
886.062988,35.54
888.288025,35.54
890.513977,35.54
892.73999,35.54
894.966003,35.54
897.192017,35.54
899.41803,35.54
957.5,22.43
